India batting[11],India batting[11],India batting[11],India batting[11],India batting[11],India batting[11],India batting[11],India batting[11]
Player,Status,Runs,Balls,4s,6s,Strike rate,Unnamed: 7_level_1
Sunil Gavaskar,c †Dujon b Roberts,2,12.0,0.0,0.0,16.66,
Krishnamachari Srikkanth,lbw b Marshall,38,57.0,7.0,1.0,66.66,
Mohinder Amarnath,b Holding,26,80.0,3.0,0.0,32.5,
Yashpal Sharma,c sub (AL Logie) b Gomes,11,32.0,1.0,0.0,34.37,
Sandeep Patil,c Gomes b Garner,27,29.0,0.0,1.0,93.1,
Kapil Dev *,c Holding b Gomes,15,8.0,3.0,0.0,187.5,
Kirti Azad,c Garner b Roberts,0,3.0,0.0,0.0,0.0,
Roger Binny,c Garner b Roberts,2,8.0,0.0,0.0,25.0,
Madan Lal,b Marshall,17,27.0,0.0,1.0,62.96,
Syed Kirmani †,b Holding,14,43.0,0.0,0.0,32.55,
Balwinder Sandhu,not out,11,30.0,1.0,0.0,36.66,
Extras,"(b 5, lb 5, w 9, nb 1)",20,,,,,
Total,(all out; 54.4 overs),183,,15.0,3.0,3.34,
