Group AlphaCurrent Week 1Week 2Week 3Current,Group AlphaCurrent Week 1Week 2Week 3Current.1,Group AlphaCurrent Week 1Week 2Week 3Current.2,Group AlphaCurrent Week 1Week 2Week 3Current.3,Group AlphaCurrent Week 1Week 2Week 3Current.4,Group AlphaCurrent Week 1Week 2Week 3Current.5,Group AlphaCurrent Week 1Week 2Week 3Current.6
1.0,Cloud9,1-0,2-0,26-9,17,
2.0,Evil Geniuses,1-0,2-1,33-33,0,
2.0,Sentinels,1-0,2-1,33-33,0,
4.0,2GAME Esports,0-1,1-2,33-33,0,
4.0,G2 Esports,0-1,1-2,33-33,0,
6.0,FURIA,0-1,0-2,9-26,-17,
1.0,Cloud9,2-0,4-0,52-26,26,
2.0,Sentinels,2-0,4-1,59-37,22,
3.0,G2 Esports▲1,1-1,3-2,59-46,13,
4.0,Evil Geniuses▼2,1-1,2-3,50-59,-9,
5.0,2GAME Esports▼1,0-2,1-4,46-59,-13,
6.0,FURIA,0-2,0-4,13-52,-39,
1.0,Sentinels▲1,3-0,6-1,85-51,34,
2.0,G2 Esports▲1,2-1,5-3,96-67,29,
3.0,Cloud9▼2,2-1,4-2,66-52,14,
4.0,Evil Geniuses,1-2,3-5,71-96,-25,
5.0,2GAME Esports,1-2,3-5,84-78,6,
6.0,FURIA,0-3,1-6,32-90,-58,
1.0,Sentinels,4-0,8-1,111-63,48,
2.0,G2 Esports,3-1,7-3,122-74,48,
3.0,Cloud9,3-1,6-2,92-60,32,
4.0,Evil Geniuses,1-3,3-7,83-122,-39,
5.0,2GAME Esports,1-3,3-7,92-104,-12,
6.0,FURIA,0-4,1-8,39-116,-77,
