Group OmegaCurrent Week 1Week 2Week 3Current,Group OmegaCurrent Week 1Week 2Week 3Current.1,Group OmegaCurrent Week 1Week 2Week 3Current.2,Group OmegaCurrent Week 1Week 2Week 3Current.3,Group OmegaCurrent Week 1Week 2Week 3Current.4,Group OmegaCurrent Week 1Week 2Week 3Current.5,Group OmegaCurrent Week 1Week 2Week 3Current.6
1.0,100 Thieves,1-0,2-0,26-14,12,
2.0,KRÜ Esports,1-0,2-1,35-23,12,
3.0,LOUD,1-0,2-1,36-34,2,
4.0,Leviatán,0-1,1-2,34-36,-2,
5.0,MIBR,0-1,1-2,23-35,-12,
6.0,NRG,0-1,0-2,14-26,-12,
1.0,100 Thieves,2-0,4-0,52-23,29,
2.0,Leviatán▲2,1-1,3-2,60-47,13,
3.0,NRG▲3,1-1,2-2,40-39,1,
4.0,KRÜ Esports▼2,1-1,2-3,44-49,-5,
5.0,LOUD▼2,1-1,2-3,49-60,-11,
6.0,MIBR▼1,0-2,1-4,34-61,-27,
1.0,100 Thieves,2-1,4-2,74-50,24,
2.0,NRG▲1,2-1,4-3,78-71,7,
3.0,KRÜ Esports▲1,2-1,4-4,79-73,6,
4.0,Leviatán▼2,1-2,4-4,92-85,7,
5.0,MIBR▲1,1-2,3-4,61-83,-22,
6.0,LOUD▼1,1-2,3-5,73-95,-22,
1.0,100 Thieves,3-1,6-3,103-82,21,
2.0,NRG,3-1,6-3,106-94,12,
3.0,Leviatán▲1,2-2,6-5,124-112,12,
4.0,KRÜ Esports▼1,2-2,5-6,106-105,1,
5.0,LOUD▲1,1-3,4-7,105-124,-19,
6.0,MIBR▼1,1-3,3-6,84-111,-27,
