#,Country / Region,Representation,Players
1,United States,27 / 60 (45%),"Asuna, babybay, bang, brawk, C0M, Cryocells, Derrek, Ethan, icy, jawgemo, mitch, N4RRATE, NaturE, neT, OXY, s0m, skuba, supamen, tex, trent, v1c, valyn, Verno, Xeppaa, yay, zekken, Zellsis"
2,Brazil,17 / 60 (28%),"artziN, aspas, cauanzin, cortezia, gobera, heat, lukxo, lz, Palla, pANcada, pryze, Sato, silentzz, spikeziN, tuyz, Urango, xenom"
3,Chile,6 / 60 (10%),"adverso, keznitdeuS, kiNgg, Mazino, Melser, Shyy"
4,Canada,4 / 60 (7%),"eeiu, JonahP, mada, Zander"
5,Argentina,1 / 60 (2%),Dantedeu5
5,Dominican Republic,1 / 60 (2%),Virtyy
5,Morocco,1 / 60 (2%),johnqt
5,Netherlands,1 / 60 (2%),RobbieBk
5,South Korea,1 / 60 (2%),Kess
5,Vietnam,1 / 60 (2%),okeanos
